Proc. of SIGMOD | Proceedings of the .* International Conference on Management of Data, {SIGMOD} Conference
Proc. of NAACL-HLT | Proceedings of the .* Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies
Proc. of EMNLP | Proceedings of the .* Conference on Empirical Methods in Natural Language Processing
Proc. of ACL | Proceedings of the .* Annual Meeting of the Association for Computational Linguistics
Proc. of WWW | {WWW} '.*: The Web Conference .*
Proc. of ICLR | .*International Conference on Learning Representations
Proc. of ICML | .*International Conference on Machine Learning
Proc. of ICML | Machine Learning, Proceedings of the .* International Conference
Proc. of NeurIPS | .*Neural Information Processing Systems
Proc. of AAAI | Proceedings of the .*AAAI.* Conference on Artificial Intelligence
Proc. of KDD | The .* {ACM} {SIGKDD} International Conference on Knowledge Discovery
Proc. of CVPR | .*IEEE Computer Society Conference on Computer Vision and Pattern Recognition.*
Proc. of CVPR | .*IEEE/CVF Conference on Computer Vision and Pattern Recognition,.*
Proc. of ICDE | .*International Conference on Data Engineering.*
Proc. of SIGIR | .*International {ACM} {SIGIR}.*
Proc. of INTERSPEECH | Interspeech .*Annual Conference of the International Speech.*
TKDE | IEEE Transactions on Knowledge and Data Engineering
Proc. of COLM | .*Conference on Language Modeling
Proc. of WACV | .*Winter Conference on Applications of Computer Vision
Proc. of ECCV | .*European Conference on Computer Vision
Proc. of ICCV | .*International Conference on Computer Vision
Proc. of NAACL | Proceedings of the .* Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics
Proc. of Findings | Findings of the Association for Computational Linguistics
TACL | Transactions of the Association for Computational Linguistics
JMLR | Journal of Machine Learning Research
TMLR | Trans. Mach. Learn. Res.
TMLR | Transactions on Machine Learning Research
JMLR | J. Mach. Learn. Res.
Proc. of MICCAI | .*Medical Image Computing and Computer.?Assisted Intervention
Proc. of MLSys | .*Conference on Machine Learning and Systems
Proc. of LoG | .*Learning on Graphs Conference
Proc. of AutoML | .*International Conference on Automated Machine Learning
Proc. of ICRA | .*International Conference on Robotics and Automation
Proc. of IROS | .*International Conference on Intelligent Robots and Systems
Proc. of RSS | .*Robotics: Science and Systems
Proc. of CoRL | .*Conference on Robot Learning
